#lenk          enk(meV)       PAM  Sxy            Syz            Szx
   4.7826613078   8.4638080445  0.0  -0.0770703522  -0.3797413266  -0.2192437514
   4.7968181390   8.4816371040  0.0  -0.0348594549  -0.3552730762  -0.2051170007
   4.8109749702   8.4903921136  0.0   0.0122678499  -0.3187454884  -0.1840277883
   4.8251318014   8.4838615775  0.0   0.0610943409  -0.2680517564  -0.1547597488
   4.8392886327   8.4554629036  0.0   0.1045178655  -0.2055377789  -0.1186672876
   4.8534454639   8.4008927940  0.0   0.1342937659  -0.1400939423  -0.0808832714
   4.8676022951   8.3205246197  0.0   0.1470037570  -0.0827745199  -0.0477898881
   4.8817591263   8.2190178416  0.0   0.1458066046  -0.0396789943  -0.0229086753
   4.8959159576   8.1027968250  0.0   0.1363896647  -0.0106630685  -0.0061563232
   4.9100727888   7.9779771092  0.0   0.1233336156   0.0073670092   0.0042533467
   4.9242296200   7.8496160586  0.0   0.1093146479   0.0177290137   0.0102358524
   4.9383864512   7.7217377624  0.0   0.0956259369   0.0229993304   0.0132786709
   4.9525432824   7.5975737622  0.0   0.0827869040   0.0249587323   0.0144099319
   4.9667001137   7.4797877440  0.0   0.0709342760   0.0247842364   0.0143091865
   4.9808569449   7.3706326461  0.0   0.0600307557   0.0232420084   0.0134187806
   4.9950137761   7.2720465407  0.0   0.0499676787   0.0208288878   0.0120255646
   5.0091706073   7.1857041088  0.0   0.0406130076   0.0178667838   0.0103153930
   5.0233274386   7.1130384188  0.0   0.0318324565   0.0145638258   0.0084084291
   5.0374842698   7.0552439877  0.0   0.0234976985   0.0110539439   0.0063819978
   5.0516411010   7.0132692059  0.0   0.0154884614   0.0074228869   0.0042856059
   5.0657979322   6.9878042184  0.0   0.0076917880   0.0037258441   0.0021511172
   5.0799547634   6.9792688906  0.0   0.0000000000   0.0000000000   0.0000000000
   5.0799547634   9.3882793631  0.0   0.0000000000   0.0000000000   0.0000000000
   5.0941115947   9.4006986609  0.0   0.0000000000   0.0000000000   0.0000000000
   5.1082684259   9.4378039509  0.0   0.0019112925   0.0000000000   0.0000000000
   5.1224252571   9.4991433442  0.0   0.0029853527   0.0000000000   0.0000000000
   5.1365820883   9.5839827998  0.0   0.0042099866   0.0000000000   0.0000000000
   5.1507389196   9.6913326546  0.0   0.0056504698   0.0000000000   0.0000000000
   5.1648957508   9.8199808339  0.0   0.0073871092   0.0000000000   0.0000000000
   5.1790525820   9.9685294588  0.0   0.0095221035   0.0000000000   0.0000000000
   5.1932094132  10.1349949929  1.0  -0.3108430204   0.0000000000   0.0000000000
   5.2073662444   9.9563921015  1.0  -0.3233036388   0.0000000000   0.0000000000
   5.2215230757   9.7838726487  1.0  -0.3354642439   0.0000000000   0.0000000000
   5.2356799069   9.6179280728  1.0  -0.3473880358   0.0000000000   0.0000000000
   5.2498367381   9.4590517999  1.0  -0.3591218317   0.0000000000   0.0000000000
   5.2639935693   9.3077439909  1.0  -0.3707009671   0.0000000000   0.0000000000
